Name of author	Writing	Filename	Year of first publish	Style	katakana-romaji	romaji-kanji	kanji-katakana
Futabatei Shimei	Ukigumo	ukigumo.txt	1887	realism	0.216094	0.2065118	0.59471
Futabatei Shimei	Heibon	heibon.txt	1907		-0.12688648	0.08287419	-0.10252724
Futabatei Shimei	Konjiki Yasha	konjikiyasha.txt	1897	pseudoclassicism	-0.009603426	-0.08183061	0.4019248
Koda Rohan	Gojyu-no to	gojuno_to.txt	1892	pseudoclassicism, idealism	NA	NA	0.1543033
Hirotsu Ryuro	Puratohomu	shokojo.txt	1905		NA	NA	NA
Shimazaki Toson	Hakai	hakai.txt	1908	naturalism	NA	NA	0.5035874
Shimazaki Toson	Ie_01	ie_jyo.txt	1908	naturalism	0.4056314	0.1161636	-0.02728946
Shimazaki Toson	Ie_02	ie_ge.txt	1910	naturalism	0.051520887	0.004216141	0.172139912
Shimazaki Toson	Yoake mae_01	01yoakemae1_jo.txt	1929-1935	naturalism	NA	NA	0.1283632
Shimazaki Toson	Yoake mae_02	02yoakemae1_ge.txt	1929-1935	naturalism	NA	NA	0.2110687
Shimazaki Toson	Yoake mae_03	03yoakemae2_jo.txt	1929-1935	naturalism	NA	NA	0.5641905
Shimazaki Toson	Yoake mae_04	04yoakemae2_ge.txt	1929-1935	naturalism	NA	NA	0.2508865
Higuchi Ichiyo	Take kurabe	takekurabe.txt	1896	romanticism	NA	NA	NA
Higuchi Ichiyo	Nigorie	nigorie.txt	1895		NA	NA	NA
Higuchi Ichiyo	Jyusan'ya	jusanya_kyuji.txt	1895		NA	NA	0.9169493
Izumi Kyoka	Koya hijiri	koyahijiri.txt	1900		NA	NA	NA
Izumi Kyoka	Onna keiju	onnakeizu.txt	1907		0.051337717	-0.003321557	0.544110237
Nagai Kafu	Sumidagawa	sumidagawa.txt	1909	naturalism	NA	NA	-0.03951304
Tayama Katai	Futon	futon.txt	1907	naturalism, I-novel	0.08402413	-0.03545148	0.86726628
Tayama Katai	Juemon no saigo	juemonno_saigo.txt	1902	naturalism	-0.1644297	-0.3045889	0.01351136
Tayama Katai	Inaka kyoshi	inaka_kyoshi.txt	1909	naturalism	0.3780751	0.2709686	0.1918803
Kunikida Doppo	Musashino	musashino.txt	1898	naturalism	-0.1147079	0.5	0.9176629
Kunikida Doppo	Gyuniku to bareisho	gyunikuto_bareisho.txt	1901	realism	-0.03394221	-0.77771377	0.6546537
Kunikida Doppo	Sorachigawa-no kishibe	sorachigawano_kishibe.txt	1902		NA	NA	NA
Mori Ogai	Seinen	seinen.txt	1911				
Mori Ogai	Abe ichizoku	abe_ichizoku.txt	1913	historical fiction			
Mori Ogai	Sansho dayu	sanshodayu.txt	1915	historical fiction			
Mori Ogai	Takase bune	takasebune.txt	1916	historical fiction			
Mori Ogai	Shibue Chusai	shibue_chusai.txt	1916	historical fiction			
Mori Ogai	Maihime	maihime.txt	1890				
Mori Ogai	Utakata no ki	utakatano_ki.txt	1890				
Mori Ogai	Fumizukai	fumizukai.txt	1891				
Mori Ogai	Vita sexualis	vita_sexualis.txt	1909				
Mori Ogai	Gan	gan.txt	1911				
Mori Ogai	Moso	moso.txt	1911				
Mori Ogai	Okitsuya Goemon no isho	okitsu_yagoemonno_isho.txt	1912	historical fiction			
Natsume Soseki	Wagahai wa neko dearu	wagahaiwa_nekodearu.txt	1905				
Natsume Soseki	Rondonto	london.txt	1905				
Natsume Soseki	Carlyle_hakubutsukan	carlyle_hakubutsukan.txt	1905				
Natsume Soseki	Bocchan	bocchan.txt	1906				
Natsume Soseki	Kusamakura	kusamakura.txt	1906				
Natsume Soseki	Nihyakutoka	nihyakutoka.txt	1906				
Natsume Soseki	Gubijinso	gubijinso.txt	1907				
Natsume Soseki	Kofu	kofu.txt	1908				
Natsume Soseki	Buncho	buncho.txt	1908				
Natsume Soseki	Yume jyuya	yume_juya.txt	1908				
Natsume Soseki	Sanshiro	sanshiro.txt	1908				
Natsume Soseki	Sorekara	sorekara.txt	1909				
Natsume Soseki	Mon	mon.txt	1910				
Natsume Soseki	Higan sugimade	higansugimade.txt	1912				
Natsume Soseki	Kojin	kojin.txt	1912				
Natsume Soseki	Kokoro	kokoro.txt	1914				
Tanizaki Junichiro	Shisei	shisei.txt	1910				
Tanizaki Junichiro	Shonen	shonen.txt	1911				
Tanizaki Junichiro	Chijin no ai	chijinno_ai.txt	1924				
Tanizaki Junichiro	Manji	manji.txt	1928				
Tanizaki Junichiro	Tade kuu mushi	tade_ku_mushi.txt	1928				
Akutagawa Ryunosuke	Rashomon	rashomon_kyu.txt	1915				
Akutagawa Ryunosuke	Hana	hana.txt	1916				
Akutagawa Ryunosuke	Imogayu	imogayu.txt	1916				
Akutagawa Ryunosuke	Hankachi	hankechi.txt	1916				
Akutagawa Ryunosuke	Tabako to akuma	tabakoto_akuma.txt	1917				
Akutagawa Ryunosuke	Jigokuhen	jigokuhen_shohan.txt	1918				
Akutagawa Ryunosuke	Kumo no ito	kumono_ito.txt	1918				
Akutagawa Ryunosuke	Chuto	chuto.txt	1917				
Akutagawa Ryunosuke	Gesaku zanmai	gesaku_zanmai.txt	1917				
Akutagawa Ryunosuke	Hokyonin no shi	hokyoninno_shi.txt	1918				
Akutagawa Ryunosuke	Kare no sho	karenosho.txt	1918				
Akutagawa Ryunosuke	Kirishitohoro shoninden	kirishitohoro_shoninden.txt	1919				
Akutagawa Ryunosuke	Mikan	mikan.txt	1919				
Akutagawa Ryunosuke	Butokai	butokai.txt	1920				
Akutagawa Ryunosuke	Aki	aki.txt	1920				
Akutagawa Ryunosuke	Toshishun	toshishun.txt	1920				
Akutagawa Ryunosuke	Yabu no naka	yabuno_naka.txt	1922				
Akutagawa Ryunosuke	Tokokko	torokko.txt	1922				
Akutagawa Ryunosuke	Yasukichi no techo kara	yasukichino_techokara.txt	1923				
Akutagawa Ryunosuke	Genkaku sanbo	genkaku_sanbo.txt	1927				
Akutagawa Ryunosuke	Kappa	kappa.txt	1927				
Akutagawa Ryunosuke	Haguruma	haguruma.txt	1927				
Akutagawa Ryunosuke	Majutsu	majutsu.txt	1920				
Kikuchi Hiroshi	Shinju fujin	shinju_fujin_kyukana.txt	1920				
Kikuchi Hiroshi	Tadanaokyo joki	tadanaokyo_gyojoki.txt	1918				
Kikuchi Hiroshi	Onshu no kanata ni	onshuno_kanatani.txt	1919				
Kikuchi Hiroshi	Mumei sakka no nikki	mumeisakkano_nikki.txt	1918				
Arishima Takeo	Kankan mushi	kankanmusi.txt	1910				
Arishima Takeo	Kain no matsuei	kainno_matsuei.txt	1917				
Arishima Takeo	Chiisaki monoe	chiisaki_monoe.txt	1918				
Arishima Takeo	Umareizuru nayami	umareizuru_nayami.txt	1918				
Arishima Takeo	Aruonna_zenpen	01aru_onna_zenpen.txt	1919				
Arishima Takeo	Aruonna_kohen	02aru_onna_kohen.txt	1919				